#Gi	CloneName	Stdn	Chrom	Phase	CloneState	GCenter	Accession	SeqLen	LibAbbr
8918548	RP4-683M11	Y	1	3	fin		AB045364.1	137890	RP4
8918549	622b6	A	1	3	fin		AB045365.1	126549	RP4
8918549	RP4-622B6	Y	1	3	fin		AB045365.1	126549	RP4
33636391	RP11-671C15	Y	1	1	pre		AB107102.1	200491	RP11
1556444	LL21NC02-55C11	Y		1	pre		AC000001.1	120000	LL21NC02
1556444	Q55C11	A		1	pre		AC000001.1	120000	LL21NC02
1556443	LL21NC02-47D9	Y		2	pre		AC000002.1	93911	LL21NC02
1556443	Q47D9	A		2	pre		AC000002.1	93911	LL21NC02
2204282	104H12	A	17	3	fin		AC000003.1	122228	CTB
2204282	CTB-104H12	Y	17	3	fin		AC000003.1	122228	CTB
2160126	293K16	A	17	3	fin		AC000004.1	141878	CTC
2160126	CTC-293K16	Y	17	3	fin		AC000004.1	141878	CTC
1556442	LL21NC02-37A2	Y		1	pre		AC000005.1	120000	LL21NC02
1556442	Q37A2	A		1	pre		AC000005.1	120000	LL21NC02
4263638	B271E1	A	12	3	fin		AC000015.2	66704	CTC
4263638	CTC-271E1	Y	12	3	fin		AC000015.2	66704	CTC
2133892	63C9	A	Y	3	fin		AC000021.1	40328	LL0YNC03
2133892	LL0YNC03-63C9	Y	Y	3	fin		AC000021.1	40328	LL0YNC03
2133867	46A6	A	Y	3	fin		AC000022.1	43795	LL0YNC03
2133867	LL0YNC03-46A6	Y	Y	3	fin		AC000022.1	43795	LL0YNC03
5881547	58b8	A	22	3	fin		AC000026.3	126312	XXbac
5881547	XXbac-58B8	Y	22	3	fin		AC000026.3	126312	XXbac
5922087	8.65E+11	A	22	3	fin		AC000029.17	142979	XXbac
5922087	XXbac-865E9	Y	22	3	fin		AC000029.17	142979	XXbac
7958979	LL22NC03-85A3	Y	22	3	fin		AC000036.5	43847	LL22NC03
7958979	n85a3	A	22	3	fin		AC000036.5	43847	LL22NC03
24137474	LL22NC03-66C4	Y	22	3	fin		AC000050.22	42167	LL22NC03
24137474	n66c4	A	22	3	fin		AC000050.22	42167	LL22NC03
1669385	H_DJ073F11	A	X	3	fin		AC000055.1	93578	RP1
1669385	RP1-73F11	Y	X	3	fin		AC000055.1	93578	RP1
1669385	RZPDB737C085D	A	X	3	fin		AC000055.1	93578	RP1
3947436	CTB-5F13	Y	7	3	fin	WUGSC	AC000056.1	84838	CTB
1669383	CTB-67M9	Y	7	3	fin	WUGSC	AC000057.1	78631	CTB
3947431	CTB-111F10	Y	7	3	fin	WUGSC	AC000058.1	46419	CTB
21322215	CTB-128M16	Y	7	3	fin	WUGSC	AC000059.2	107298	CTB
1669380	CTB-156N9	Y	7	3	fin		AC000060.1	34264	CTB
1669380	H_RG156N09	A	7	3	fin		AC000060.1	34264	CTB
1669376	CTB-133K23	Y	7	3	fin	WUGSC	AC000061.1	82512	CTB
1669374	H_2G3A	A	13	3	fin		AC000062.1	110858	RP1
1669374	RP1-2G3A	N	13	3	fin		AC000062.1	110858	RP1
1669372	H_LUCA19	A	3	3	fin		AC000063.1	34478	SCLUCA
1669372	SCLUCA-19	N	3	3	fin		AC000063.1	34478	SCLUCA
1669372	XXcos-LUCA19	A	3	3	fin		AC000063.1	34478	SCLUCA
1669369	CTB-83M5	Y	7	3	fin		AC000064.1	56093	CTB
1669369	H_RG083M05	A	7	3	fin		AC000064.1	56093	CTB
1669367	CTB-85C5	Y	7	3	fin	WUGSC	AC000065.1	82261	CTB
3645943	CTA-293F11	Y	7	3	fin	WUGSC	AC000066.1	94960	CTA
7229730	100h	A	22	3	fin		AC000067.2	40645	LL22NC03
7229730	LL22NC03-100H	N	22	3	fin		AC000067.2	40645	LL22NC03
7122318	102g9	A	22	3	fin		AC000068.2	43934	LL22NC03
7122318	LL22NC03-102G9	Y	22	3	fin		AC000068.2	43934	LL22NC03
7940337	105a	A	22	3	fin		AC000070.2	38699	LL22NC03
7940337	LL22NC03-105A	N	22	3	fin		AC000070.2	38699	LL22NC03
7122563	15a10	A	22	3	fin		AC000072.2	39535	LL22NC03
7122563	LL22NC03-15A10	Y	22	3	fin		AC000072.2	39535	LL22NC03
7122966	2h	A	22	3	fin		AC000076.2	41091	LL22NC03
7122966	LL22NC03-2H	N	22	3	fin		AC000076.2	41091	LL22NC03
7123048	31e	A	22	3	fin		AC000077.2	35739	LL22NC03
7123048	LL22NC03-31E	N	22	3	fin		AC000077.2	35739	LL22NC03
7123141	33e	A	22	3	fin		AC000078.2	44426	LL22NC03
7123141	LL22NC03-33E	N	22	3	fin		AC000078.2	44426	LL22NC03
3845380	49c12	A	22	3	fin		AC000079.1	39540	LL22NC03
3845380	LL22NC03-49C12	Y	22	3	fin		AC000079.1	39540	LL22NC03
7123907	56c	A	22	3	fin		AC000080.2	44090	LL22NC03
7123907	LL22NC03-56C	N	22	3	fin		AC000080.2	44090	LL22NC03
7124533	59c10	A	22	3	fin		AC000081.2	44005	LL22NC03
7124533	LL22NC03-59C10	Y	22	3	fin		AC000081.2	44005	LL22NC03
4689486	59f1	A	22	3	fin		AC000082.4	42019	LL22NC03
4689486	LL22NC03-59F1	Y	22	3	fin		AC000082.4	42019	LL22NC03
7124672	72f8	A	22	3	fin		AC000085.5	100152	XXbac
7124672	XXbac-72F8	Y	22	3	fin		AC000085.5	100152	XXbac
3810634	81h	A	22	3	fin		AC000086.1	43467	LL22NC03
3810634	LL22NC03-81H	N	22	3	fin		AC000086.1	43467	LL22NC03
7124755	83c5	A	22	3	fin		AC000087.2	42071	LL22NC03
7124755	LL22NC03-83C5	Y	22	3	fin		AC000087.2	42071	LL22NC03
7124834	8.30E+09	A	22	3	fin		AC000088.2	40676	LL22NC03
7124834	LL22NC03-83E8	Y	22	3	fin		AC000088.2	40676	LL22NC03
3810631	89h	A	22	3	fin		AC000089.1	39754	LL22NC03
3810631	LL22NC03-89H	N	22	3	fin		AC000089.1	39754	LL22NC03
22475309	8c	A	22	3	fin		AC000090.3	45256	LL22NC03
22475309	LL22NC03-8C	N	22	3	fin		AC000090.3	45256	LL22NC03
4190938	91c	A	22	3	fin		AC000091.1	44928	LL22NC03
4190938	LL22NC03-91C	N	22	3	fin		AC000091.1	44928	LL22NC03
3810628	98c4	A	22	3	fin		AC000092.1	38715	LL22NC03
3810628	LL22NC03-98C4	Y	22	3	fin		AC000092.1	38715	LL22NC03
22475321	CITF22-39E1	Y	22	3	fin		AC000094.4	34335	CITF22
22475321	f39e1	A	22	3	fin		AC000094.4	34335	CITF22
24137455	CITF22-41C7	Y	22	3	fin		AC000095.5	43728	CITF22
24137455	f41c7	A	22	3	fin		AC000095.5	43728	CITF22
1764159	EG7YAC-g0771a3	N	7	3	fin		AC000099.1	40677	EG7YAC
1764159	NCHGR:yWSS771	A	7	3	fin		AC000099.1	40677	EG7YAC
1764159	g0771a003	A	7	3	fin		AC000099.1	40677	EG7YAC
1808698	EG7YAC-g0771a222	N	7	3	fin		AC000109.1	41122	EG7YAC
1808698	NCHGR:yWSS771	A	7	3	fin		AC000109.1	41122	EG7YAC
1808698	g0771a222	A	7	3	fin		AC000109.1	41122	EG7YAC
1808699	EG7YAC-g0771a233	N	7	3	fin		AC000110.1	45508	EG7YAC
1808699	NCHGR:yWSS771	A	7	3	fin		AC000110.1	45508	EG7YAC
1808699	g0771a233	A	7	3	fin		AC000110.1	45508	EG7YAC
1809237	CTB-68P20	Y	7	3	fin	WUGSC	AC000111.1	149554	CTB
1809236	DJ149P21	A		3	fin		AC000112.1	111118	RP1
1809236	RP1-149P21	Y		3	fin		AC000112.1	111118	RP1
1809234	DJ302C05	A	X	3	fin		AC000113.1	135672	RP1
1809234	RP1-302C5	Y	X	3	fin		AC000113.1	135672	RP1
1809234	RZPDB737D1012D	A	X	3	fin		AC000113.1	135672	RP1
1809233	DJ527C21	A	X	3	fin		AC000114.1	172151	RP3
1809233	RP3-527C21	Y	X	3	fin		AC000114.1	172151	RP3
1809233	RZPDB737A0419D	A	X	3	fin		AC000114.1	172151	RP3
1809230	GS1-188P18	Y		3	fin		AC000115.1	95855	GS1
1809230	GS188P18	A		3	fin		AC000115.1	95855	GS1
1809229	GS1-259O10	Y	5	3	fin		AC000116.1	84383	GS1
1809229	GS259O10	A	5	3	fin		AC000116.1	84383	GS1
1809228	CTB-62A19	Y	7	3	fin	WUGSC	AC000117.1	110384	CTB
1809227	CTB-72E11	Y	7	3	fin	WUGSC	AC000118.1	96625	CTB
1809226	CTB-104I4	Y	7	3	fin	WUGSC	AC000119.1	191191	CTB
1809224	CTB-161K23	Y	7	3	fin	WUGSC	AC000120.1	142396	CTB
1809222	CTA-249A12	Y	7	3	fin	WUGSC	AC000121.1	93163	CTA
2772559	CTA-369H2	Y	7	3	fin	WUGSC	AC000122.1	29979	CTA
1814193	EG7YAC-g0771a106	N	7	3	fin		AC000123.1	42879	EG7YAC
1814193	NCHGR:yWSS771	A	7	3	fin		AC000123.1	42879	EG7YAC
1814193	g0771a106	A	7	3	fin		AC000123.1	42879	EG7YAC
1814192	EG7YAC-g1572c35	N	7	3	fin		AC000124.1	41906	EG7YAC
1814192	NCHGR:yWSS771	A	7	3	fin		AC000124.1	41906	EG7YAC
1814192	g1572c035	A	7	3	fin		AC000124.1	41906	EG7YAC
1814191	EG7YAC-g1572c37	N	7	3	fin		AC000125.1	43104	EG7YAC
1814191	NCHGR:yWSS771	A	7	3	fin		AC000125.1	43104	EG7YAC
1814191	g1572c037	A	7	3	fin		AC000125.1	43104	EG7YAC
1814190	EG7YAC-g1572c190	N	7	3	fin		AC000126.1	42440	EG7YAC
1814190	NCHGR:yWSS771	A	7	3	fin		AC000126.1	42440	EG7YAC
1814190	g1572c190	A	7	3	fin		AC000126.1	42440	EG7YAC
1814189	EG7YAC-g1572c198	N	7	3	fin		AC000127.1	41306	EG7YAC
1814189	NCHGR:yWSS771	A	7	3	fin		AC000127.1	41306	EG7YAC
1814189	g1572c198	A	7	3	fin		AC000127.1	41306	EG7YAC
1881568	EG7YAC-g1346a21	N	7	3	fin		AC000354.1	40061	EG7YAC
1881568	NHGRI:yWSS1346	A	7	3	fin		AC000354.1	40061	EG7YAC
1881568	g1346a021	A	7	3	fin		AC000354.1	40061	EG7YAC
1881567	EG7YAC-g1346a200	N	7	3	fin		AC000355.1	42130	EG7YAC
1881567	NCHGR:yWSS1346	A	7	3	fin		AC000355.1	42130	EG7YAC
1881567	g1346a200	A	7	3	fin		AC000355.1	42130	EG7YAC
1881566	EG7YAC-g1346a312	N	7	3	fin		AC000356.1	39716	EG7YAC
1881566	NCHGR:yWSS1346	A	7	3	fin		AC000356.1	39716	EG7YAC
1881566	g1346a312	A	7	3	fin		AC000356.1	39716	EG7YAC
1881565	EG7YAC-g1572c101	N	7	3	fin		AC000357.1	45309	EG7YAC
1881565	NCHGR:yWSS1572	A	7	3	fin		AC000357.1	45309	EG7YAC
1881565	g1572c101	A	7	3	fin		AC000357.1	45309	EG7YAC
1881564	EG7YAC-g1572c237	N	7	3	fin		AC000358.1	41947	EG7YAC
1881564	NCHGR:yWSS1572	A	7	3	fin		AC000358.1	41947	EG7YAC
1881564	g1572c237	A	7	3	fin		AC000358.1	41947	EG7YAC
1881562	EG7YAC-g1346a45	N	7	3	fin		AC000361.1	40482	EG7YAC
1881562	NHGRI:yWSS1346	A	7	3	fin		AC000361.1	40482	EG7YAC
1881562	g1346a045	A	7	3	fin		AC000361.1	40482	EG7YAC
1881561	EG7YAC-g1346a94	N	7	3	fin		AC000362.1	40977	EG7YAC
1881561	NCHGR:yWSS1346	A	7	3	fin		AC000362.1	40977	EG7YAC
1881561	g1346a094	A	7	3	fin		AC000362.1	40977	EG7YAC
19387730	EG7YAC-g1346a137	N	7	3	fin		AC000363.2	38051	EG7YAC
19387730	NHGRI:yWSS1346	A	7	3	fin		AC000363.2	38051	EG7YAC
19387730	g1346a137	A	7	3	fin		AC000363.2	38051	EG7YAC
1881559	EG7YAC-g1346a186	N	7	3	fin		AC000364.1	37060	EG7YAC
1881559	NHGRI:yWSS1346	A	7	3	fin		AC000364.1	37060	EG7YAC
1881559	g1346a186	A	7	3	fin		AC000364.1	37060	EG7YAC
1881558	EG7YAC-g1862x42	N	7	3	fin		AC000365.1	44081	EG7YAC
1881558	NCHGR:yWSS1862	A	7	3	fin		AC000365.1	44081	EG7YAC
1881558	g1862x042	A	7	3	fin		AC000365.1	44081	EG7YAC
1881557	EG7YAC-g1862x46	N	7	3	fin		AC000366.1	41702	EG7YAC
1881557	NCHGR:yWSS1862	A	7	3	fin		AC000366.1	41702	EG7YAC
1881557	g1862x046	A	7	3	fin		AC000366.1	41702	EG7YAC
2347066	EG7YAC-g1862x55	N	7	3	fin		AC000367.1	43349	EG7YAC
2347066	NHGRI:yWSS1862	A	7	3	fin		AC000367.1	43349	EG7YAC
2347066	g1862x055	A	7	3	fin		AC000367.1	43349	EG7YAC
1881554	EG7YAC-g1980a18	N	7	3	fin		AC000369.1	42760	EG7YAC
1881554	NHGRI:yWSS1980	A	7	3	fin		AC000369.1	42760	EG7YAC
1881554	g1980a018	A	7	3	fin		AC000369.1	42760	EG7YAC
1881553	EG7YAC-g1980a84	N	7	3	fin		AC000370.1	44498	EG7YAC
1881553	NHGRI:yWSS1980	A	7	3	fin		AC000370.1	44498	EG7YAC
1881553	g1980a084	A	7	3	fin		AC000370.1	44498	EG7YAC
1881552	EG7YAC-g1980a181	N	7	3	fin		AC000371.1	37685	EG7YAC
1881552	NHGRI:yWSS1980	A	7	3	fin		AC000371.1	37685	EG7YAC
1881552	g1980a181	A	7	3	fin		AC000371.1	37685	EG7YAC
1881551	EG7YAC-g1980a186	N	7	3	fin		AC000372.1	41730	EG7YAC
1881551	NHGRI:yWSS1980	A	7	3	fin		AC000372.1	41730	EG7YAC
1881551	g1980a186	A	7	3	fin		AC000372.1	41730	EG7YAC
1881570	EG7YAC-g1862d218	N	7	3	fin		AC000373.1	39602	EG7YAC
1881570	NCHGR:yWSS1862	A	7	3	fin		AC000373.1	39602	EG7YAC
1881570	g1862d218	A	7	3	fin		AC000373.1	39602	EG7YAC
1881569	EG7YAC-g1980a170	N	7	3	fin		AC000374.1	41585	EG7YAC
1881569	NHGRI:yWSS1980	A	7	3	fin		AC000374.1	41585	EG7YAC
1881569	g1980a170	A	7	3	fin		AC000374.1	41585	EG7YAC
2160128	276O15	A	17	3	fin		AC000389.1	83024	CTC
2160128	CTC-276O15	Y	17	3	fin		AC000389.1	83024	CTC
28201748	CTB-44J6	Y	17	3	fin	WIBR	AC001231.3	134457	CTB
2342716	A-13F4	A	16	3	fin	TIGR	AC002039.1	127485	CTA
2342716	CTA-13F4	Y	16	3	fin	TIGR	AC002039.1	127485	CTA
3075381	A-180G2	A		1	pre	TIGR	AC002042.1	185994	CTA
3075381	CTA-180G2	Y		1	pre	TIGR	AC002042.1	185994	CTA
2347079	A-418G10	A	16	3	fin	TIGR	AC002044.1	218074	CTA
2347079	CTA-418G10	Y	16	3	fin	TIGR	AC002044.1	218074	CTA
2951945	A-589H1	A	16	3	fin	TIGR	AC002045.1	124048	CTA
2951945	CTA-589H1	Y	16	3	fin	TIGR	AC002045.1	124048	CTA
7923863	LL22NC03-1G3	Y	22	3	fin		AC002055.2	41213	LL22NC03
7923863	n1g3	A	22	3	fin		AC002055.2	41213	LL22NC03
3810614	LL22NC03-94H12	Y	22	3	fin		AC002056.1	43454	LL22NC03
3810614	n94h12	A	22	3	fin		AC002056.1	43454	LL22NC03
2073548	EG7YAC-g1980a146	N	7	3	fin		AC002057.1	45347	EG7YAC
2073548	NCHGR:yWSS1980	A	7	3	fin		AC002057.1	45347	EG7YAC
2073548	g1980a146	A	7	3	fin		AC002057.1	45347	EG7YAC
2076723	CTB-16J4	Y	7	3	fin		AC002064.1	156214	CTB
2076723	RG016J04	A	7	3	fin		AC002064.1	156214	CTB
21328421	CTB-21N8	Y	7	3	fin	WUGSC	AC002065.2	117954	CTB
21322176	CTB-30H15	Y	7	3	fin	WUGSC	AC002066.2	151770	CTB
21322214	CTB-126M9	Y	7	3	fin	WUGSC	AC002067.2	162912	CTB
2076719	CTA-242D1	Y	7	3	fin	WUGSC	AC002068.1	58645	CTA
21322240	CTA-326K9	Y	7	3	fin	WUGSC	AC002069.2	158537	CTA
2078475	7E17	A	12	3	fin		AC002070.1	165197	CTB
2078475	CTB-7E17	Y	12	3	fin		AC002070.1	165197	CTB
2078474	RP1-2C6	Y	X	3	fin	WUGSC	AC002071.1	63726	RP1
2078473	RP1-218B13	Y	X	3	fin	WUGSC	AC002072.1	114956	RP1
2078469	RP3-515N1	Y	22	3	fin	WUGSC	AC002073.1	128978	RP3
2078469	RZPDB737F1018D	A	22	3	fin	WUGSC	AC002073.1	128978	RP3
18093043	GS1-56H18	Y	7	3	fin	WUGSC	AC002074.2	116660	GS1
21321882	GS1-274A7	Y	7	3	fin	WUGSC	AC002075.2	120030	GS1
21321885	GS1-345D13	Y	7	3	fin	WUGSC	AC002076.2	149764	GS1
2078459	SCLUCA-17	N	3	3	fin		AC002077.1	38682	SCLUCA
2078459	XXcos-LUCA17	A	3	3	fin		AC002077.1	38682	SCLUCA
2078459	cosGT13	A	3	3	fin		AC002077.1	38682	SCLUCA
21322181	CTB-111H14	Y	7	3	fin	WUGSC	AC002078.2	80168	CTB
2078457	CTB-155A21	Y	7	3	fin	WUGSC	AC002079.1	62593	CTB
2078455	CTA-253B13	Y	7	3	fin	WUGSC	AC002080.1	171905	CTA
2078453	CTA-331C24	Y	7	3	fin	WUGSC	AC002081.1	136150	CTA
2078452	LL0XNC01-9B8	Y	X	3	fin		AC002082.1	39238	LL0XNC01
2078452	LLcos-9B8	A	X	3	fin		AC002082.1	39238	LL0XNC01
2078452	U9B8	A	X	3	fin		AC002082.1	39238	LL0XNC01
19387731	EG7YAC-g1940a188	N	7	3	fin		AC002083.2	39608	EG7YAC
19387731	NHGRI:yWSS1940	A	7	3	fin		AC002083.2	39608	EG7YAC
19387731	g1940a188	A	7	3	fin		AC002083.2	39608	EG7YAC
2078476	EG7YAC-g1940a370	N	7	3	fin		AC002084.1	36007	EG7YAC
2078476	NHGRI:yWSS1940	A	7	3	fin		AC002084.1	36007	EG7YAC
2078476	g1940a370	A	7	3	fin		AC002084.1	36007	EG7YAC
2085785	RP3-525N14	Y	X	3	fin	WUGSC	AC002086.1	112686	RP3
2085785	RZPDB737H1018D	A	X	3	fin	WUGSC	AC002086.1	112686	RP3
2085783	GS1-113D4	Y	5	3	fin	WUGSC	AC002087.1	154028	GS1
21322174	CTB-13P7	Y	7	3	fin	WUGSC	AC002088.2	85633	CTB
21322223	CTA-308B22	Y	7	3	fin	WUGSC	AC002089.2	148416	CTA
2160130	43I4	A	17	3	fin		AC002090.1	137769	CTB
2160130	CTB-43I4	Y	17	3	fin		AC002090.1	137769	CTB
18698798	CTB-41I6	Y	17	3	fin	WIBR	AC002091.2	161816	CTB
2645193	CTB-124H2	Y	17	1	pre		AC002092.1	95456	CTB
2645193	HCIT124H2	A	17	1	pre		AC002092.1	95456	CTB
2645193	hCIT.124_H_2	A	17	1	pre		AC002092.1	95456	CTB
2674258	CTB-145P4	Y	17	1	pre		AC002093.1	133687	CTB
2674258	HCIT145P4	A	17	1	pre		AC002093.1	133687	CTB
2155224	96E2	A	17	3	fin		AC002094.1	167101	CTB
2155224	CTB-96E2	Y	17	3	fin		AC002094.1	167101	CTB
2347181	19N16	A	6	3	fin		AC002112.1	115967	CTB
2347181	CTB-19N16	Y	6	3	fin		AC002112.1	115967	CTB
2085790	EG7YAC-g1862x83	N	7	3	fin		AC002113.1	43307	EG7YAC
2085790	NHGRI:yWSS1862	A	7	3	fin		AC002113.1	43307	EG7YAC
2085790	g1862x083	A	7	3	fin		AC002113.1	43307	EG7YAC
2085788	EG7YAC-g1940a85	N	7	3	fin		AC002114.1	45852	EG7YAC
2085788	NHGRI:yWSS1940	A	7	3	fin		AC002114.1	45852	EG7YAC
2085788	g1940a085	A	7	3	fin		AC002114.1	45852	EG7YAC
2541933	LLNLR-300D3	Y	19	3	fin		AC002116.1	40491	LLNLR
2541933	R33743	A	19	3	fin		AC002116.1	40491	LLNLR
27436846	CTB-113F3	Y	17	3	fin	WIBR	AC002117.2	26492	CTB
2462727	303_E_14	A	17	1	pre		AC002118.1	170891	CTC
2462727	CTC-303E14	Y	17	1	pre		AC002118.1	170891	CTC
27436844	CTC-347H5	Y	17	3	fin	WIBR	AC002119.2	107977	CTC
2121322	GS1-293J4	Y	5	3	fin	WUGSC	AC002122.1	79931	GS1
2121321	GS1-312P20	Y	5	3	fin	WUGSC	AC002123.1	166531	GS1
21322219	CTB-180O1	Y	7	3	fin	WUGSC	AC002124.2	100923	CTB
2121323	CTA-305H12	Y	7	3	fin	WUGSC	AC002127.1	144165	CTA
2121325	F19410	A	19	3	fin		AC002128.1	45328	LLNLF
2121325	LLNLF-151A10	Y	19	3	fin		AC002128.1	45328	LLNLF
2160193	F24108	A	19	3	fin		AC002132.1	39336	LLNLF
2160193	LLNLF-200A4	Y	19	3	fin		AC002132.1	39336	LLNLF
2447220	LLNLR-297H2	Y	19	3	fin		AC002133.1	41525	LLNLR
2447220	R33502	A	19	3	fin		AC002133.1	41525	LLNLR
2342715	A-237H1	A	16	3	fin	TIGR	AC002287.1	188636	CTA
2342715	CTA-237H1	Y	16	3	fin	TIGR	AC002287.1	188636	CTA
2982171	A-249B10	A	16	3	fin	TIGR	AC002288.1	213633	CTA
2982171	CTA-249B10	Y	16	3	fin	TIGR	AC002288.1	213633	CTA
2815548	A-113A6	A	16	3	fin	TIGR	AC002299.1	171681	CTA
2815548	CTA-113A6	Y	16	3	fin	TIGR	AC002299.1	171681	CTA
2979567	A-328A3	A	16	3	fin	TIGR	AC002301.1	105485	CTA
2979567	CTA-328A3	Y	16	3	fin	TIGR	AC002301.1	105485	CTA
2342739	A-670B5	A	16	3	fin	TIGR	AC002303.1	131530	CTA
2342739	CTA-670B5	Y	16	3	fin	TIGR	AC002303.1	131530	CTA
2213634	LLNLR-300H11	Y	19	3	fin		AC002306.1	38651	LLNLR
2213634	R33799	A	19	3	fin		AC002306.1	38651	LLNLR
2576342	A-635H12	A	16	3	fin	TIGR	AC002310.1	120955	CTA
2576342	CTA-635H12	Y	16	3	fin	TIGR	AC002310.1	120955	CTA
2251214	124E8	A	9q34	3	fin		AC002313.1	1303	CTB
2251214	CTB-124E8	Y	9q34	3	fin		AC002313.1	1303	CTB
2252637	LLNLR-241A12	Y	19	3	fin		AC002314.1	40379	LLNLR
2252637	R28052	A	19	3	fin		AC002314.1	40379	LLNLR
18677457	CTB-11O23	Y	17	3	fin	WIBR	AC002316.2	88004	CTB
2897860	CTB-7H10	Y	17	1	pre		AC002317.1	94882	CTB
2897860	HCIT7H10	A	17	1	pre		AC002317.1	94882	CTB
2281074	11_E_4	A	9q34	3	fin		AC002322.1	39000	RP11
2281074	RP11-11E4	Y	9q34	3	fin		AC002322.1	39000	RP11
2979573	A-218C7	A	16	3	fin	TIGR	AC002331.1	139480	CTA
2979573	CTA-218C7	Y	16	3	fin	TIGR	AC002331.1	139480	CTA
2887487	CTB-3L16	Y	17	1	pre		AC002344.1	118610	CTB
2887487	HCIT3L16	A	17	1	pre		AC002344.1	118610	CTB
13027555	CTB-20D5	Y	17	1	can	WIBR	AC002345.2	98829	CTB
2262094	336_M_15	A	17	1	pre		AC002346.1	135734	CTC
2262094	CTC-336M15	Y	17	1	pre		AC002346.1	135734	CTC
28144441	CTC-297N7	Y	17	3	fin	WIBR	AC002347.3	134706	CTC
2674257	363G12	A	17	1	pre		AC002348.1	146756	CTC
2674257	CTC-363G12	Y	17	1	pre		AC002348.1	146756	CTC
2809270	RP1-167A22	Y	X	3	fin	BCM	AC002349.1	159863	RP1
2809270	RPCI1-167A22	A	X	3	fin	BCM	AC002349.1	159863	RP1
2809270	RZPDB737G028D	A	X	3	fin	BCM	AC002349.1	159863	RP1
2961443	RP3-424M6	Y	12	3	fin	BCM	AC002350.1	167217	RP3
2961443	RPCI3-424M6	A	12	3	fin	BCM	AC002350.1	167217	RP3
28460712	RP1-46F2	Y	12	3	fin	BCM	AC002351.2	149679	RP1
3858888	P256D10	A	12	3	fin	BCM	AC002352.1	162405	RP1
3858888	RP1-256D10	Y	12	3	fin	BCM	AC002352.1	162405	RP1
3858888	RZPDB737B0711D	A	12	3	fin	BCM	AC002352.1	162405	RP1
28144365	RP3-463L22	Y	12	3	fin	BCM	AC002353.9	27210	RP3
